country_id	party	party_id	cee	ches_id	family	cmp_id	parlgov_id	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	intradem	personalised	nr_experts	mean_expert_response	populism
9.0	"Green"	907.0	1	2207	7	83110	219	5.5	2.0	4.0	8.0	8.0	3.0	6.0	3.0	3.5	6.0	7.0	2.0	2.0	8.5	7.0	4.0	10.0	8.6875	4.812065
10.0	"KESK"	1001.0	0	1403	11	14810	94	4.0	5.0	5.0	4.5	3.0	7.0	5.0	6.0	6.0	5.0	5.0	5.0	6.0	2.0	6.0	6.0	11.0	10.75	3.4275737
10.0	"PS"	1002.0	0	1405	1	14820	200	8.0	8.0	9.0	9.0	8.0	2.0	9.0	9.0	6.0	0.0	1.0	10.0	9.0	0.0	5.0	8.0	11.0	10.8125	8.507244
10.0	"KOK"	1003.0	0	1402	3	14620	1118	4.0	3.5	5.0	3.5	3.0	7.0	5.0	8.0	8.0	6.0	9.0	4.0	7.0	5.0	6.0	6.0	11.0	10.75	2.9866235
10.0	"SDP"	1004.0	0	1401	5	14320	395	5.0	4.0	5.0	5.0	4.0	7.0	4.0	3.0	3.0	7.0	8.0	3.0	4.0	6.0	6.0	6.0	11.0	10.75	3.838691
10.0	"VIHR"	1005.0	0	1408	7	14110	1062	5.0	2.5	3.0	5.0	3.0	7.0	5.0	4.0	3.0	9.0	9.0	1.0	2.0	9.0	8.0	5.0	11.0	10.75	2.5718718
10.0	"VAS"	1006.0	0	1404	6	14223	1292	5.0	3.5	4.0	5.5	5.0	5.0	6.0	2.0	2.0	8.0	5.0	1.0	1.5	9.0	7.0	5.0	11.0	10.5625	3.7071486
10.0	"KD"	1007.0	0	1409	10	14520	1463	6.0	5.0	5.0	4.0	3.0	5.0	6.0	7.5	7.0	5.0	6.5	5.0	8.0	1.0	6.0	6.0	11.0	10.0625	3.7815692
10.0	"SFPRKP"	1008.0	0	1406	8	14901	585	4.0	3.0	4.0	3.5	3.0	6.0	4.0	7.0	7.0	7.0	9.0	1.0	5.0	8.5	6.5	5.0	11.0	10.375	2.5131013
10.0	"SIN"	1009.0	0		2		2645	5.0	7.0	7.0	8.0	7.0	3.0	6.0	6.5	6.0	2.0	2.0	8.0	8.0	1.0	5.0	7.0	11.0	10.5625	6.433445
11.0	"PS"	1101.0	0	602	5	31320	1539	3.5	4.5	5.0	3.0	1.0	5.0	1.5	4.5	4.0	6.0	7.0	2.0	4.0	7.5	6.0	3.0	10.0	9.9375	2.4489162
11.0	"EELV"	1102.0	0	605	7	31110	873	3.5	4.5	4.5	3.0	3.0	7.0	3.5	3.5	3.0	8.5	8.0	0.0	1.0	10.0	8.0	1.5	10.0	9.9375	2.7327433
11.0	"PCF"	1103.0	0	601	6	31220	686	7.0	5.0	6.5	7.0	6.0	3.0	5.0	1.5	0.5	7.0	3.5	1.0	3.5	7.0	4.5	2.0	10.0	9.9375	5.931121
11.0	"Rad"	1104.0	0	622	3		401	1.0	5.0	5.0	1.5	1.5	6.0	1.0	4.0	4.0	6.5	8.0	1.0	1.0	7.0	4.0	0.5	10.0	7.5	1.7745345
11.0	"MoDem"	1105.0	0	613	3	31624	509	3.5	5.0	4.5	1.5	0.5	7.0	1.0	5.0	6.5	5.0	8.5	2.0	4.0	5.0	3.0	7.0	10.0	9.875	1.906346
11.0	"FN"	1106.0	0	610	1	31720	270	10.0	8.5	10.0	10.0	9.5	0.0	9.5	10.0	3.0	0.0	0.0	10.0	10.0	2.0	2.0	9.5	10.0	9.9375	10.0
11.0	"LaREM"	1107.0	0	626	3	31425	2643	6.0	4.0	5.5	2.0	1.0	7.0	3.5	6.0	7.5	4.0	9.0	3.0	6.0	7.0	3.5	10.0	10.0	9.875	2.933075
11.0	"LR"	1108.0	0	609	2	31626	658	7.0	6.0	6.0	3.0	3.0	6.0	6.0	8.0	8.0	1.5	5.0	7.5	9.0	3.0	5.0	7.5	10.0	9.9375	4.3591285
11.0	"UDI"	1109.0	0		3	31430	2273	3.0	3.0	4.5	2.0	1.0	7.0	1.0	6.0	7.0	4.0	8.0	3.0	7.0	4.0	4.0	3.5	10.0	8.6875	1.696982
11.0	"LFI"	1110.0	0	627	6	31240	2644	8.5	7.5	7.5	9.0	9.0	1.0	9.0	1.0	0.5	7.0	2.0	2.0	2.0	7.0	5.0	9.0	10.0	9.9375	8.190959
11.0	"DLF"	1111.0	0	628	2		2399	8.0	6.0	7.5	8.5	8.5	1.0	7.0	9.0	6.0	1.0	0.0	8.0	9.0	2.0	2.0	9.0	10.0	9.6875	7.617411
11.0	"NPA"	1112.0	0		6			9.5	7.0	7.0	9.0	10.0	0.0	8.0	0.0	0.0	9.0	2.0	0.5	1.0	9.0	5.0	3.0	10.0	9.5	8.382765
11.0	"LP"	1113.0	0		1			9.0	9.0	9.5	10.0	9.5	1.5	10.0	10.0	1.0	0.0	0.0	9.0	10.0	3.0		10.0	10.0	8.8125	9.654448
12.0	"CDU"	1201.0	0	301	4		808	3.0	3.0	3.0	2.0	1.0	7.0	3.5	6.0	7.0	4.5	8.0	6.0	7.0	4.0	4.0	8.0	18.0	17.8125	1.1056613
12.0	"SPD"	1202.0	0	302	5	41320	558	3.5	3.0	3.0	2.5	3.0	8.0	4.0	4.0	4.0	6.0	8.0	4.0	4.5	6.0	6.0	5.5	18.0	17.8125	1.801985
12.0	"CSU"	1203.0	0	308	4		1180	6.0	6.0	6.0	3.5	2.0	6.0	6.5	7.0	6.0	2.0	5.5	7.5	8.0	2.0	3.0	8.0	18.0	17.8125	3.99242
12.0	"Linke"	1204.0	0	306	6	41223	791	7.0	5.0	6.0	7.0	7.0	4.0	7.0	1.0	1.0	6.0	4.0	4.0	4.0	7.0	6.0	5.0	18.0	17.5	5.974481
12.0	"AfD"	1205.0	0	310	1	41953	2253	9.0	9.0	9.0	9.0	9.0	2.0	9.0	9.0	6.5	0.0	1.0	10.0	9.0	1.0	5.0	7.5	18.0	17.6875	9.134082
12.0	"B90Grune"	1206.0	0	304	7	41113	772	4.0	1.0	2.0	5.0	4.0	7.0	6.0	3.0	4.0	8.0	9.0	1.0	1.0	10.0	8.0	4.5	18.0	17.6875	1.952446
12.0	"FDP"	1207.0	0	303	3	41420	543	3.0	1.0	1.0	2.0	1.0	6.0	4.0	6.0	8.0	4.0	6.0	4.0	3.0	7.5	4.0	9.0	18.0	17.5625	1.0131174E-6
13.0	"SYRIZA"	1301.0	0	403	6	34212	1441	8.0	7.0	7.0	8.0	8.0	5.0	8.0	3.0	3.0	8.0	6.0	1.0	1.0	9.0	7.0	7.0	13.0	12.75	7.3571744
13.0	"ND"	1302.0	0	402	2	34511	47	6.0	4.0	4.0	3.0	2.0	7.0	7.0	7.0	8.0	4.0	9.0	7.0	8.0	3.0	4.0	7.0	13.0	12.75	2.7852466
13.0	"XA"	1303.0	0	415	1	34720	2092	10.0	10.0	9.5	9.0	9.5	0.0	10.0	10.0	3.0	0.0	0.0	10.0	10.0	0.0	1.0	10.0	13.0	12.625	9.837792
13.0	"PASOK"	1304.0	0	401	5	34313	1338	4.5	5.0	4.0	5.5	3.0	7.0	6.0	5.0	5.0	6.0	9.0	3.0	4.5	7.0	5.5	6.5	13.0	11.75	3.3502624
13.0	"KKE"	1305.0	0	404	6	34210	614	8.0	6.0	8.5	7.0	8.0	3.0	5.0	0.0	0.0	7.0	0.0	1.0	3.5	5.0	2.0	5.0	13.0	12.6875	7.5868535
13.0	"Potami"	1306.0	0	413	5	34340	2346	4.0	3.0	3.0	4.0	3.0	7.5	3.0	5.0	6.5	6.0	9.5	2.0	3.0	9.0	7.0	7.5	13.0	11.75	2.2204003
13.0	"ANEL"	1307.0	0	412	1	34730	2091	8.0	8.0	8.0	8.0	8.0	3.0	8.5	8.0	5.0	1.0	4.0	9.0	8.0	1.0	2.0	9.0	13.0	12.625	7.910005
13.0	"EK"	1308.0	0	450	5	34410	2165	6.0	6.0	6.5	6.5	6.0	3.0	6.0	5.0	5.0	3.5	6.0	5.5	6.0	2.5	2.0	9.0	13.0	11.0625	5.760471
13.0	"LAE"	1309.0	0		6	34214	2596	8.0	8.0	9.0	9.0	9.0	2.0	8.5	1.0	1.0	8.0	2.0	1.0	1.0	9.0	6.0	4.5	13.0	12.1875	8.747711
