expert_id	country_id	nr_experts	party	party_id	intradem	personalised	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	gender	accuracy	self_leftright	discipline	expertise
2004.0	2.0	14.0	"CDV"	202.0	7	5	6	3	3	0	0	9	2	5	6	6	8	2	4	4	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"CDV"	202.0	5	7		6	6	5	3	5	4	5	6	4	7	7	6	3	0	3	4	7	"1,4"
2006.0	2.0	14.0	"CDV"	202.0	6	5	3	4	3	6	3	6	3	6	6	4	6	6	6	5	0	3		1	"1,4"
2007.0	2.0	14.0	"CDV"	202.0	4	2	3	5	4	4	1	8	6	5	5	4	6	4	5	3	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"CDV"	202.0	3	8	3	5	5	3	3	6	2	5	5	5	9	7	5	4	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"CDV"	202.0	8	7	4	5	9	1	1	9	3	5	5	3	8	7	6	2	0	6		1	"4"
2010.0	2.0	14.0	"CDV"	202.0	8	3	1	0	0	1	1	10	4	5	5	5	9		7	2	0	8	5	1	"1"
2011.0	2.0	14.0	"CDV"	202.0	7	6	3	3	3	5	1	8	3	5	5	4	8	3	6	2	1	7	4	1	"4"
2012.0	2.0	14.0	"CDV"	202.0	4	5	4	3	3	5	2	8	4	5	5	5	9	4	5	4	1	4	3	1	"1,15"
2013.0	2.0	14.0	"CDV"	202.0	6	6	2	3	3	3	3	6	5	5	4	5	7	3	5	4	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"CDV"	202.0	6	4	3	3	2	2	2	7	5	5	5	5	7	5	6	3	0	5	6	1	"1,2,3,4,13"
2001.0	2.0	14.0	"OVLD"	203.0	8	4	1	2	6	1	4	8	8	8	10	5	10	4	1	10	0	8	5	4	"2,4"
2002.0	2.0	14.0	"OVLD"	203.0	8	5	2	0	0	7	3	5	7	8	9	3	10	7	0	9	1	2	2	1	"15"
