id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
biden_sotu_02_111,Biden,SOTU,02,111,"Let's finish the job and close the loopholes that allow the very wealthy to avoid paying their taxes. Instead of cutting the number of audits for wealthy taxpayers, I just signed a law to reduce the deficit by $114 billion by cracking down on wealthy tax cheats. That's being fiscally responsible.",0,51,297,3,15.3
biden_sotu_02_112,Biden,SOTU,02,112,"In the last 2 years, my administration has cut the deficit by more than $1.7 trillion, the largest deficit reduction in American history. Under the previous administration, the American deficit went up 4 years in a row. Because of those record deficits, no President added more to the national debt in any 4 years than my predecessor.",0,57,334,4,17.1
biden_sotu_02_113,Biden,SOTU,02,113,"Nearly 25 percent of the entire national debt that took over 200 years to accumulate was added by just one administration alone, the last one. They're the facts. Check it out.",0,31,175,3,9.3
biden_sotu_02_114,Biden,SOTU,02,114,Check it out. How did Congress respond to that debt? They did the right thing.,0,15,78,3,4.5
biden_sotu_02_115,Biden,SOTU,02,115,They lifted the debt ceiling three times without preconditions or crisis. They paid the American bill to prevent an economic disaster to the country. So tonight I'm asking the Congress to follow suit.,0,33,200,3,9.9
biden_sotu_02_116,Biden,SOTU,02,116,"Let's commit here tonight that the full faith and credit of the United States of America will never, ever be questioned. So my—many of—some of my Republican friends want to take the economy hostage—I get it—unless I agree to their economic plans. All of you at home should know what those plans are.",0,53,299,3,15.9
biden_sotu_02_117,Biden,SOTU,02,117,"Instead of making the wealthy pay their fair share, some Republicans want Medicare and Social Security to sunset. I'm not saying it's a majority—— Audience members. Boo!",0,27,169,3,8.1
biden_sotu_02_118,Biden,SOTU,02,118,Let me give you—— Audience members. No! The President.,0,9,54,3,2.7
biden_sotu_02_119,Biden,SOTU,02,119,"Anybody who doubts it, contact my office. I'll give you a copy. I'll give you a copy of the proposal.",0,20,101,3,6.0
biden_sotu_02_120,Biden,SOTU,02,120,Representative Marjorie Taylor Greene. Liar! The President.,0,7,59,3,2.1
biden_sotu_02_121,Biden,SOTU,02,121,"That means Congress doesn't vote—— Well, I'm glad to see—no, I tell you, I enjoy conversion. [Laughter] You know, it means if Congress doesn't keep the programs the way they are, they'd go away. Other Republicans say—I'm not saying it's a majority of you.",0,44,255,3,13.2
biden_sotu_02_122,Biden,SOTU,02,122,I don't even think it's a significant—— Audience member. [Inaudible ]—don't say—— The President. ——but it's being proposed by individuals.,0,20,138,3,6.0
biden_sotu_02_123,Biden,SOTU,02,123,"But you don't say who. The President. I'm not—politely not naming them, but it's being proposed by some of you.",0,20,111,3,6.0
biden_sotu_02_124,Biden,SOTU,02,124,Audience members. [Inaudible ] Rep. Greene.,0,6,43,3,1.8
biden_sotu_02_125,Biden,SOTU,02,125,"Liar, liar! The President. Look, folks, the idea is that we're not going to be—we're not going to be moved into being threatened to default on the debt if we don't respond.",0,32,172,3,9.6
biden_sotu_02_126,Biden,SOTU,02,126,"Folks—[applause ]—so, folks, as we all apparently agree, Social Security and Medicare is off the books now, right? They're not to be touched? [Applause ] All right.",0,27,164,3,8.1
biden_sotu_02_127,Biden,SOTU,02,127,All right. We've got unanimity! Social Security and Medicare are a lifeline for millions of seniors.,0,16,100,3,4.8
biden_sotu_02_128,Biden,SOTU,02,128,Americans have to pay into them from the very first paycheck they've started. So tonight let's all agree—and we apparently are—let's stand up for seniors. Stand up and show them we will not cut Social Security.,0,36,210,3,10.8
biden_sotu_02_129,Biden,SOTU,02,129,We will not cut Medicare. Those benefits belong to the American people. They earned it.,0,15,87,3,4.5
biden_sotu_02_130,Biden,SOTU,02,130,"And if anyone tries to cut Social Security—which apparently no one is going to do —[laughter]—and if anyone tries to cut Medicare, I'll stop them. I'll veto it. And look, I'm not going to allow them to take away—be taken away.",0,41,226,3,12.3
biden_sotu_02_131,Biden,SOTU,02,131,Not today. Not tomorrow. Not ever.,0,6,34,3,1.8
biden_sotu_02_132,Biden,SOTU,02,132,"But apparently, it's not going to be a problem. [Laughter] Next month, when I offer my fiscal plan, I ask my Republican friends to lay down their plan as well. I really mean it.",0,34,177,3,10.2
biden_sotu_02_133,Biden,SOTU,02,133,"Let's sit down together and discuss our mutual plans together. Let's do that. I can tell you, the plan I'm going to show you is going to cut the deficit by another $2 trillion.",0,34,176,3,10.2
biden_sotu_02_134,Biden,SOTU,02,134,"And it won't cut a single bit of Medicare or Social Security. In fact, we're going to extend the Medicare Trust Fund at least two decades, because that's going to be the next argument: how do we make— keep it solvent. Right?",0,42,224,3,12.6
biden_sotu_02_135,Biden,SOTU,02,135,"Well, I will not raise taxes on anyone making under 400 grand.",0,12,62,1,3.6
biden_sotu_02_136,Biden,SOTU,02,136,"But we'll pay for it the way we talked about tonight: by making sure that the wealthy and big corporations pay their fair share. Look—look, look, here's the deal. They aren't just taking advantage of the Tax Code, they're taking advantage of you, the American consumer.",0,46,269,3,13.8
